Title	URL	Assignees	Status	Labels	Milestone	Parent issue
K-000 | Define Golden Seed test vectors	https://github.com/GALSOV/galsov-public-roadmap/issues/1	GALSOV	Backlog	area:engine, determinism, DoD-blocker, turntrace, type:test	v0.1 (MVP)	
K-001 | Document branching + commit conventions	https://github.com/GALSOV/galsov-public-roadmap/issues/2	GALSOV	Backlog	area:docs, area:governance, DoD-blocker	v0.1 (MVP)	
K-002 | Create TurnTrace “Hello World” writer	https://github.com/GALSOV/galsov-public-roadmap/issues/3	GALSOV	Backlog	area:engine, determinism, DoD-blocker, turntrace, type:feature	v0.1 (MVP)	
K-002A | TurnTrace schema + version stamp	https://github.com/GALSOV/galsov-public-roadmap/issues/4	GALSOV	Backlog	area:engine, DoD-blocker, turntrace, type:chore	v0.1 (MVP)	https://github.com/GALSOV/galsov-public-roadmap/issues/3
K-002B | TurnTrace writer writes to predictable folder	https://github.com/GALSOV/galsov-public-roadmap/issues/5	GALSOV	Backlog	area:engine, turntrace, type:chore	v0.1 (MVP)	https://github.com/GALSOV/galsov-public-roadmap/issues/3
K-002C | TurnTrace smoke test	https://github.com/GALSOV/galsov-public-roadmap/issues/6	GALSOV	Backlog	area:engine, determinism, DoD-blocker, turntrace, type:chore, type:test	v0.1 (MVP)	https://github.com/GALSOV/galsov-public-roadmap/issues/3
K-003 | GameSession spine scaffold	https://github.com/GALSOV/galsov-public-roadmap/issues/7	GALSOV	Backlog	area:engine, determinism, DoD-blocker, turntrace, type:epic	v0.1 (MVP)	
K-003A | Create SimState root + deterministic IDs	https://github.com/GALSOV/galsov-public-roadmap/issues/8	GALSOV	Backlog	area:engine, determinism, DoD-blocker, type:feature	v0.1 (MVP)	https://github.com/GALSOV/galsov-public-roadmap/issues/7
K-003B | Create TurnContext + phase orchestration	https://github.com/GALSOV/galsov-public-roadmap/issues/9	GALSOV	Backlog	area:engine, DoD-blocker, type:feature	v0.1 (MVP)	https://github.com/GALSOV/galsov-public-roadmap/issues/7
K-003C | TurnTrace stage structure	https://github.com/GALSOV/galsov-public-roadmap/issues/10	GALSOV	Backlog	area:engine, determinism, DoD-blocker, turntrace, type:feature	v0.1 (MVP)	https://github.com/GALSOV/galsov-public-roadmap/issues/7
K-003D | Spine golden-seed test	https://github.com/GALSOV/galsov-public-roadmap/issues/11	GALSOV	Backlog	area:engine, determinism, DoD-blocker, turntrace, type:test	v0.1 (MVP)	https://github.com/GALSOV/galsov-public-roadmap/issues/7
K-004 | Deterministic ordering helpers	https://github.com/GALSOV/galsov-public-roadmap/issues/12	GALSOV	Backlog	area:engine, determinism, DoD-blocker, type:chore	v0.1 (MVP)	
K-004A | DeterministicOrder utilities	https://github.com/GALSOV/galsov-public-roadmap/issues/13	GALSOV	Backlog	area:engine, determinism, type:chore	v0.1 (MVP)	https://github.com/GALSOV/galsov-public-roadmap/issues/12
K-004B | Ban unordered iteration in sim core	https://github.com/GALSOV/galsov-public-roadmap/issues/14	GALSOV	Backlog	area:docs, area:engine, determinism	v0.1 (MVP)	https://github.com/GALSOV/galsov-public-roadmap/issues/12
K-005 | Central RNG service (IRng) + logging	https://github.com/GALSOV/galsov-public-roadmap/issues/15	GALSOV	Backlog	area:engine, determinism, DoD-blocker, turntrace, type:feature	v0.1 (MVP)	
K-005A | Implement IRng with seed + stream keys	https://github.com/GALSOV/galsov-public-roadmap/issues/16	GALSOV	Backlog	area:engine, determinism, type:feature	v0.1 (MVP)	https://github.com/GALSOV/galsov-public-roadmap/issues/15
K-005B | RNG draw logging to TurnTrace	https://github.com/GALSOV/galsov-public-roadmap/issues/17	GALSOV	Backlog	area:engine, turntrace, type:feature	v0.1 (MVP)	https://github.com/GALSOV/galsov-public-roadmap/issues/15
K-005C | RNG determinism test	https://github.com/GALSOV/galsov-public-roadmap/issues/18	GALSOV	Backlog	area:engine, determinism, DoD-blocker, type:test	v0.1 (MVP)	https://github.com/GALSOV/galsov-public-roadmap/issues/15
K-006 | Movement data models	https://github.com/GALSOV/galsov-public-roadmap/issues/19	GALSOV	Backlog	area:engine, DoD-blocker, type:feature	v0.1 (MVP)	
K-006A | Fleet position + destination model	https://github.com/GALSOV/galsov-public-roadmap/issues/20	GALSOV	Backlog	area:engine, type:feature	v0.1 (MVP)	https://github.com/GALSOV/galsov-public-roadmap/issues/19
